Title,Company,Location,Stipend,Skills
Human Resources (HR),Godrej Infotech,Mumbai,No Stipend,"MS-Office, MS-Excel, English Proficiency (Spoken), English Proficiency (Written), Canva"
Business Development (Sales),SnapFind,Gurgaon,No Stipend,"Social Media Marketing, Email Marketing, MS-Excel, English Proficiency (Spoken), English Proficiency (Written)"
Finance,Times InternetActively hiring,"Gurgaon, Noida",No Stipend,"MS-Excel, Effective Communication"
Packaging (Procurement/Purchase),Kokuyo Camlin Limited,"Navi Mumbai, Mumbai",No Stipend,"Coordination, Effective Communication"
Sales Support,Raam GroupActively hiring,Hyderabad,No Stipend,"MS-Word, MS-Excel, MIS, Client Relationship, Sales, Effective Communication, Document Management"
Sales & Marketing,Paracoat Products LimitedActively hiring,Gurgaon,No Stipend,"Time Management, Market Analysis, MS-Excel, Lead Generation, Client Relationship, English Proficiency (Spoken), English Proficiency (Written)"
Business Development (Sales),ILux ElectricalsActively hiring,"Thane, Navi Mumbai, Mumbai",No Stipend,"Social Media Marketing, Digital Marketing, Email Marketing, MS-Excel, English Proficiency (Spoken), English Proficiency (Written)"
Business Development (Sales),ILux Electricals,Thane(Hybrid),No Stipend,"Social Media Marketing, Digital Marketing, Email Marketing, MS-Excel, English Proficiency (Spoken), English Proficiency (Written)"
Documentation,Raam GroupActively hiring,Hyderabad,No Stipend,"MS-Word, MS-Excel, Effective Communication"
Business Development (Sales),Innovsource Services Private Limited,"Pune, Mumbai",No Stipend,"MS-Excel, English Proficiency (Written)"
Social Media Marketing,IREED Academy India Private LimitedActively hiring,Gurgaon,No Stipend,"Social Media Marketing, Instagram Marketing"
Talent Acquisition (Recruitment),ScalerActively hiring,Bangalore,No Stipend,"Recruitment, Interpersonal skills, Effective Communication, ATS"
Human Resources (HR),Hansa Cequity,Mumbai,No Stipend,"MS-Office, English Proficiency (Spoken), English Proficiency (Written)"
Human Resources (HR),Enrich Hair And Skin Solutions Private Limited,Mumbai,No Stipend,"Photography, Marketing Campaigns, Employment engagement"
Talent Acquisition,CarWale,"Thane, Navi Mumbai, Mumbai",No Stipend,Recruitment
Business Development (Sales),Mahanadi Spices Pvt Ltd.,Raipur(Hybrid),No Stipend,"Social Media Marketing, Digital Marketing, Email Marketing, MS-Excel, English Proficiency (Spoken)"
Sales & Marketing - B2B Sales - HSR Layout,Simplilearn,Bangalore,No Stipend,"MS-Excel, Business Development, Interpersonal skills, Sales, Effective Communication"
Content Writing,Times InternetActively hiring,Noida(Hybrid),No Stipend,"Content Writing, Creative Writing, English Proficiency (Spoken), English Proficiency (Written)"
Program Associate,ScalerActively hiring,Bangalore,No Stipend,"Project Management, Scrum, Jira, Program Management, Agile Methodology, Zendesk"
Telecalling,DCM Shriram LimitedActively hiring,Gurgaon(Hybrid),No Stipend,"MS-Excel, Hindi Proficiency (Spoken)"
Curriculum Developer - English,Greater Than Educational TechnologiesActively hiring,Hyderabad,No Stipend,"English Proficiency (Spoken), English Proficiency (Written)"
Marketing And Sales,Reliance Nippon Life InsuranceActively hiring,Kolkata,No Stipend,"Networking, Client Relationship Management (CRM), Lead Generation, Effective Communication"
Marketing- MBA Marketing,AngelOne,Mumbai,No Stipend,"Marketing, Marketing Strategies, Marketing Campaigns"
Business Development (Sales),PrintoActively hiring,Bangalore,No Stipend,"Lead Generation, English Proficiency (Spoken), Business Development, Interpersonal skills, Sales, Marketing, Field Sales"
Digital Marketing,Audi Mumbai WestActively hiring,Mumbai,No Stipend,"Social Media Marketing, Google Analytics, CorelDRAW, Search Engine Marketing (SEM), Digital Marketing, Accounting, Google AdWords"
Human Resources (HR),Ghar Pe ShikshaActively hiring,Work from home,No Stipend,"MS-Office, MS-Word, MS-Excel, English Proficiency (Spoken), English Proficiency (Written)"
Business Development (Sales),Creative Mediapulse Technologies Private Limited (CMPTL)Actively hiring,Work from home,No Stipend,"English Proficiency (Spoken), Hindi Proficiency (Spoken)"
E-Learning Course Graphics Designer/Animator,Imarticus LearningActively hiring,"Mumbai, Noida",No Stipend,"Design Thinking, Graphic Design, Motion Graphics"
Graphic Design,UnimonksActively hiring,Delhi,No Stipend,"Adobe Photoshop, Adobe Illustrator, Adobe Creative Suite, Adobe InDesign, Adobe After Effects, Adobe Photoshop Lightroom CC"
Telecalling Executive For Motor Insurance,SKASHIC CONSULTANCY LLPActively hiring,Surat,No Stipend,"Negotiation, Sales, Effective Communication"
Law/Legal,VIVEK SHEELActively hiring,Delhi,No Stipend,"MS-Office, MS-Word, English Proficiency (Spoken), English Proficiency (Written)"
Law/Legal,Kridey FoundationActively hiring,Work from home,No Stipend,"MS-Office, MS-Word, English Proficiency (Spoken), English Proficiency (Written)"
Telecaller,Indian JewellerActively hiring,Jaipur,No Stipend,Effective Communication
UI/UX Design,Global TrendActively hiring,Work from home,No Stipend,"UI & UX Design, Figma"
Event Management,Xtraamile Edu EventsActively hiring,Mumbai,No Stipend,"MS-Office, Event Management"
CS Articleship,Greenvissage Business ConsultingActively hiring,Pune,No Stipend,"Problem Solving, Effective Communication"
Technical Support/Custommer Support,InstaWeb Labs Private LimitedActively hiring,Mumbai,No Stipend,"Technical Support, Interpersonal skills, Effective Communication, Customer Support"
Luxury Marketing,APRE Art HouseActively hiring,Mumbai,No Stipend,"English Proficiency (Spoken), English Proficiency (Written)"
